threshold,missclasified,tag_correct,tag_incorrect,CER
0.0,6169,20371,0,0.30283245790584656
0.0005,5669,13045,7326,0.2782877620146286
0.001,6226,11946,8425,0.30563055323744537
0.0015,6919,10655,9716,0.3396495017426734
0.002,7570,9600,10771,0.3716066957930391
0.0025,8094,8758,11613,0.3973295370870355
0.003,8518,8146,12225,0.4181434392027883
0.0035,8849,7647,12724,0.43439202788277453
0.004,9044,7302,13069,0.4439644592803495
0.0045000000000000005,9229,7021,13350,0.45304599676010016
0.005,9370,6790,13581,0.4599676010014236
0.0055,9457,6625,13746,0.4642383780864955
0.006,9566,6450,13921,0.469589121790781
0.006500000000000001,9636,6316,14055,0.47302537921555154
0.007,9728,6174,14197,0.4775416032595356
0.0075,9800,6044,14327,0.481076039467871
0.008,9881,5907,14464,0.4850522802022483
0.0085,9932,5816,14555,0.48755583918315254
0.009000000000000001,9969,5755,14616,0.48937214667910267
0.0095,9996,5714,14657,0.49069756025722844
0.01,10004,5692,14679,0.4910902753914879
