threshold,missclasified,tag_correct,tag_incorrect,CER
0.0,6169,20371,0,0.30283245790584656
0.01,10004,5692,14679,0.4910902753914879
0.02,10553,4795,15576,0.5180403514800451
0.03,10924,4260,16111,0.5362525158313288
0.04,10967,4161,16210,0.5383633596779736
0.05,11009,4075,16296,0.5404251141328359
0.06,11054,3966,16405,0.5426341367630455
0.07,11184,3772,16599,0.5490157576947622
0.08,11245,3647,16724,0.5520102105934908
0.09,11258,3630,16741,0.5526483726866624
0.1,11289,3573,16798,0.5541701438319179
0.11,11502,3238,17133,0.5646261842815767
0.12,11853,2733,17638,0.5818565607972117
0.13,11879,2699,17672,0.5831328849835551
0.14,11904,2650,17721,0.584360119778116
0.15,11933,2607,17764,0.5857837121398066
0.16,11966,2570,17801,0.5874036620686269
0.17,11984,2548,17823,0.5882872711207108
0.18,12012,2520,17851,0.589661774090619
0.19,12041,2487,17884,0.5910853664523097
0.2,12080,2446,17925,0.5929998527318247
0.21,12115,2411,17960,0.59471798144421
0.22,12158,2368,18003,0.5968288252908547
0.23,12185,2341,18030,0.5981542388689804
0.24,12207,2319,18052,0.599234205488194
0.25,12230,2280,18091,0.6003632614991901
0.26,12256,2248,18123,0.6016395856855333
0.27,12272,2232,18139,0.6024250159540523
0.28,12315,2189,18182,0.604535859800697
0.29,12349,2149,18222,0.6062048991212999
0.3,12393,2105,18266,0.608364832359727
0.31,12434,2060,18311,0.6103774974228069
0.32,12483,2001,18370,0.6127828776201463
0.33,12559,1915,18456,0.6165136713956114
0.34,12634,1832,18539,0.6201953757792941
0.35000000000000003,12722,1740,18631,0.6245152422561484
0.36,12907,1545,18826,0.6335967797358991
0.37,13096,1340,19031,0.6428746747827795
0.38,13256,1172,19199,0.6507289774679692
0.39,13452,958,19413,0.6603504982573266
0.4,13541,859,19512,0.6647194541259633
0.41000000000000003,13617,779,19592,0.6684502479014285
0.42,13671,721,19650,0.67110107505768
0.43,13677,715,19656,0.6713956114083747
0.44,13680,710,19661,0.6715428795837219
0.45,13708,682,19689,0.6729173825536302
0.46,13719,671,19700,0.6734573658632369
0.47000000000000003,13739,651,19720,0.6744391536988856
0.48,13879,505,19866,0.6813116685484267
0.49,13899,485,19886,0.6822934563840753
0.5,13900,484,19887,0.6823425457758578
0.51,13902,474,19897,0.6824407245594227
0.52,13898,464,19907,0.682244366992293
0.53,13915,425,19946,0.6830788866525944
0.54,13916,424,19947,0.6831279760443768
0.55,13916,424,19947,0.6831279760443768
0.56,13916,424,19947,0.6831279760443768
0.5700000000000001,13916,424,19947,0.6831279760443768
0.58,13916,424,19947,0.6831279760443768
0.59,13916,424,19947,0.6831279760443768
0.6,13915,423,19948,0.6830788866525944
0.61,13916,422,19949,0.6831279760443768
0.62,13917,421,19950,0.6831770654361592
0.63,13917,421,19950,0.6831770654361592
0.64,13917,419,19952,0.6831770654361592
0.65,13918,418,19953,0.6832261548279417
0.66,13922,414,19957,0.6834225123950715
0.67,13922,412,19959,0.6834225123950715
0.68,13922,412,19959,0.6834225123950715
0.6900000000000001,13924,410,19961,0.6835206911786363
0.7000000000000001,13924,410,19961,0.6835206911786363
0.71,13925,409,19962,0.6835697805704187
0.72,13928,406,19965,0.683717048745766
0.73,13929,405,19966,0.6837661381375485
0.74,13936,398,19973,0.6841097638800255
0.75,13935,397,19974,0.684060674488243
0.76,13938,382,19989,0.6842079426635904
0.77,13939,381,19990,0.6842570320553728
0.78,13947,367,20004,0.6846497471896323
0.79,13946,366,20005,0.6846006577978498
0.8,13943,363,20008,0.6844533896225026
0.81,13953,353,20018,0.6849442835403269
0.8200000000000001,13956,350,20021,0.6850915517156743
0.8300000000000001,13960,346,20025,0.685287909282804
0.84,13963,343,20028,0.6854351774581513
0.85,13969,337,20034,0.685729713808846
0.86,13973,333,20038,0.6859260713759756
0.87,13980,326,20045,0.6862696971184526
0.88,13984,322,20049,0.6864660546855824
0.89,13986,318,20053,0.6865642334691473
0.9,13993,309,20062,0.6869078592116243
0.91,14041,175,20196,0.6892641500171813
0.92,14048,168,20203,0.6896077757596584
0.93,14049,165,20206,0.6896568651514408
0.9400000000000001,14059,151,20220,0.6901477590692652
0.9500000000000001,14062,144,20227,0.6902950272446124
0.96,14088,116,20255,0.6915713514309557
0.97,14103,101,20270,0.6923076923076923
0.98,14176,28,20343,0.6958912179078102
0.99,14193,9,20362,0.6967257375681115
1.0,14202,0,20371,0.6971675420941534
