threshold,missclasified,tag_correct,tag_incorrect,CER
0.0,6169,20371,0,0.30283245790584656
5e-10,6169,20371,0,0.30283245790584656
1e-09,6169,20371,0,0.30283245790584656
1.5000000000000002e-09,6169,20371,0,0.30283245790584656
2e-09,6169,20371,0,0.30283245790584656
2.5e-09,6169,20371,0,0.30283245790584656
3.0000000000000004e-09,6169,20371,0,0.30283245790584656
3.5000000000000003e-09,6169,20371,0,0.30283245790584656
4e-09,6169,20371,0,0.30283245790584656
4.500000000000001e-09,6169,20371,0,0.30283245790584656
5e-09,6169,20371,0,0.30283245790584656
5.5000000000000004e-09,6165,20185,186,0.3026361003387168
6.000000000000001e-09,6108,18616,1755,0.29983800500711794
6.5e-09,6088,18226,2145,0.29885621717146926
7.000000000000001e-09,6090,18210,2161,0.2989543959550341
7.500000000000001e-09,6098,18198,2173,0.2993471110892936
8e-09,6099,18191,2180,0.299396200481076
8.5e-09,6097,18185,2186,0.2992980216975112
9.000000000000001e-09,6094,18176,2195,0.29915075352216386
9.5e-09,6098,18164,2207,0.2993471110892936
1e-08,6097,18149,2222,0.2992980216975112
