threshold,missclasified,tag_correct,tag_incorrect,CER
0.0,6169,20371,0,0.30283245790584656
5e-08,6169,20371,0,0.30283245790584656
1e-07,5994,15908,4463,0.29424181434392027
1.5e-07,5981,15831,4540,0.29360365225074864
2e-07,5990,15786,4585,0.29404545677679056
2.5e-07,5996,15760,4611,0.29433999312748516
3e-07,5986,15738,4633,0.2938490992096608
3.5e-07,5989,15721,4650,0.2939963673850081
4e-07,5997,15665,4706,0.2943890825192676
4.5e-07,5985,15649,4722,0.29380000981787835
5e-07,5987,15621,4750,0.29389818860144323
5.5e-07,5996,15602,4769,0.29433999312748516
6e-07,5995,15597,4774,0.2942909037357027
6.499999999999999e-07,5991,15585,4786,0.29409454616857295
7e-07,5988,15582,4789,0.2939472779932257
7.5e-07,5990,15580,4791,0.29404545677679056
8e-07,5989,15577,4794,0.2939963673850081
8.499999999999999e-07,5991,15563,4808,0.29409454616857295
9e-07,5989,15557,4814,0.2939963673850081
9.5e-07,5989,15553,4818,0.2939963673850081
1e-06,5985,15545,4826,0.29380000981787835
