threshold,missclasified,tag_correct,tag_incorrect,CER
0.0,6169,20371,0,0.30283245790584656
5e-06,5955,15329,5042,0.29232732806440526
1e-05,5950,15254,5117,0.2920818811054931
1.5000000000000002e-05,5920,15200,5171,0.29060919935202
2e-05,5920,15126,5245,0.29060919935202
2.5e-05,5914,15102,5269,0.2903146630013254
3.0000000000000004e-05,5932,15058,5313,0.29119827205340926
3.5000000000000004e-05,5930,15038,5333,0.2911000932698444
4e-05,5937,15009,5362,0.2914437190123214
4.5e-05,5916,14968,5403,0.2904128417848903
5e-05,5909,14957,5414,0.29006921604241326
5.5e-05,5911,14951,5420,0.2901673948259781
6.000000000000001e-05,5922,14922,5449,0.2907073781355849
6.500000000000001e-05,5920,14914,5457,0.29060919935202
7.000000000000001e-05,5925,14879,5492,0.2908546463109322
7.500000000000001e-05,5926,14872,5499,0.29090373570271466
8e-05,5919,14835,5536,0.29056010996023757
8.5e-05,5911,14803,5568,0.2901673948259781
9e-05,5907,14791,5580,0.2899710372588484
9.5e-05,5906,14790,5581,0.28992194786706593
0.0001,5903,14783,5588,0.2897746796917186
