threshold,missclasified,tag_correct,tag_incorrect,CER
0.0,6169,20371,0,0.30283245790584656
0.0005,5893,14393,5978,0.28928378577389424
0.001,5869,14297,6074,0.2881056403711158
0.0015,5816,14196,6175,0.2855039026066467
0.002,5794,14154,6217,0.2844239359874331
0.0025,5763,14113,6258,0.2829021648421776
0.003,5738,14048,6323,0.28167493004761673
0.0035,5733,14009,6362,0.2814294830887045
0.004,5727,13983,6388,0.2811349467380099
0.0045000000000000005,5701,13937,6434,0.2798586225516666
0.005,5727,13851,6520,0.2811349467380099
0.0055,5707,13821,6550,0.2801531589023612
0.006,5677,13787,6584,0.2786804771488881
0.006500000000000001,5673,13779,6592,0.2784841195817584
0.007,5721,13719,6652,0.2808404103873153
0.0075,5657,13649,6722,0.27769868931323943
0.008,5655,13647,6724,0.27760051052967455
0.0085,5642,13608,6763,0.27696234843650286
0.009000000000000001,5641,13603,6768,0.2769132590447204
0.0095,5639,13599,6772,0.2768150802611556
0.01,5636,13594,6777,0.27666781208580826
