threshold,missclasified,tag_correct,tag_incorrect,CER
0.0,6169,20371,0,0.30283245790584656
0.01,5636,13594,6777,0.27666781208580826
0.02,5513,13397,6974,0.2706298168965687
0.03,5494,13340,7031,0.2696971184527024
0.04,5423,13241,7130,0.26621177163614945
0.05,5405,13161,7210,0.2653281625840656
0.06,5481,12979,7392,0.2690589563595307
0.07,5476,12948,7423,0.26881350940061854
0.08,5481,12879,7492,0.2690589563595307
0.09,5483,12861,7510,0.2691571351430956
0.1,5491,12837,7534,0.26954985027735506
0.11,5487,12821,7550,0.2693534927102253
0.12,5494,12802,7569,0.2696971184527024
0.13,5491,12789,7582,0.26954985027735506
0.14,5471,12751,7620,0.26856806244170633
0.15,5485,12723,7648,0.26925531392666047
0.16,5487,12715,7656,0.2693534927102253
0.17,5500,12674,7697,0.269991654803397
0.18,5503,12659,7712,0.2701389229787443
0.19,5518,12632,7739,0.27087526385548083
0.2,5519,12627,7744,0.27092435324726327
0.21,5531,12607,7764,0.2715134259486525
0.22,5545,12581,7790,0.2722006774336066
0.23,5561,12547,7824,0.27298610770212556
0.24,5578,12524,7847,0.27382062736242696
0.25,5605,12483,7888,0.2751460409405527
0.26,5692,12386,7985,0.2794168180256247
0.27,5704,12368,8003,0.2800058907270139
0.28,5827,12205,8166,0.2860438859162535
0.29,5841,12187,8184,0.2867311374012076
0.3,5857,12167,8204,0.28751656766972655
0.31,5873,12149,8222,0.28830199793824557
0.32,5959,12041,8330,0.292523685631535
0.33,5973,12021,8350,0.2932109371164891
0.34,5991,11997,8374,0.29409454616857295
0.35000000000000003,6006,11976,8395,0.2948308870453095
0.36,6022,11948,8423,0.2956163173138285
0.37,6070,11888,8483,0.2979726081193854
0.38,6084,11872,8499,0.2986598596043395
0.39,6135,11801,8570,0.3011634185852437
0.4,6154,11782,8589,0.30209611702911
0.41000000000000003,6165,11757,8614,0.3026361003387168
0.42,6190,11728,8643,0.3038633351332777
0.43,6229,11613,8758,0.3057778214127927
0.44,6249,11589,8782,0.3067596092484414
0.45,6260,11572,8799,0.30729959255804823
0.46,6280,11550,8821,0.3082813803936969
0.47000000000000003,6322,11476,8895,0.31034313484855924
0.48,6345,11451,8920,0.31147219085955524
0.49,6379,11377,8994,0.31314123018015805
0.5,6544,11142,9229,0.32124097982426
0.51,6636,11030,9341,0.3257572038682441
0.52,6669,10975,9396,0.32737715379706445
0.53,6684,10952,9419,0.32811349467380097
0.54,6848,10718,9653,0.33616415492612045
0.55,6872,10690,9681,0.33734230032889895
0.56,6896,10662,9709,0.3385204457316774
0.5700000000000001,6980,10538,9833,0.342643954641402
0.58,6992,10460,9911,0.3432330273427912
0.59,7003,10441,9930,0.343773010652398
0.6,7124,10254,10117,0.3497128270580728
0.61,7153,10213,10158,0.35113641941976337
0.62,7193,10165,10206,0.3530999950910608
0.63,7200,10150,10221,0.35344362083353786
0.64,7207,10115,10256,0.3537872465760149
0.65,7269,10005,10366,0.3568307888665259
0.66,7308,9946,10425,0.35874527514604093
0.67,7353,9889,10482,0.36095429777625054
0.68,7383,9855,10516,0.36242697952972364
0.6900000000000001,7400,9838,10533,0.36326149919002504
0.7000000000000001,7446,9774,10597,0.3655196112120171
0.71,7579,9611,10760,0.37204850031908104
0.72,7789,9185,11186,0.3823572725933926
0.73,7817,9145,11226,0.3837317755633008
0.74,7874,9074,11297,0.3865298708948996
0.75,8025,8901,11470,0.39394236905404745
0.76,8037,8883,11488,0.39453144175543664
0.77,8056,8856,11515,0.3954641401993029
0.78,8123,8769,11602,0.39875312944872615
0.79,8182,8696,11675,0.40164940356388984
0.8,8213,8657,11714,0.4031711747091454
0.81,8316,8522,11849,0.40822738206273623
0.8200000000000001,8327,8489,11882,0.40876736537234304
0.8300000000000001,8360,8448,11923,0.4103873153011634
0.84,8397,8405,11966,0.41220362279711353
0.85,8467,8313,12058,0.41563988022188403
0.86,8536,8230,12141,0.41902704825487214
0.87,8593,8151,12220,0.42182514358647094
0.88,8725,7989,12382,0.4283049433017525
0.89,8767,7921,12450,0.4303666977566148
0.9,9151,7259,13112,0.4492170242010701
0.91,9222,7178,13193,0.4527023710176231
0.92,9397,6989,13382,0.46129301457954935
0.93,9783,6361,14010,0.4802415198075696
0.9400000000000001,9900,6224,14147,0.48598497864611456
0.9500000000000001,10129,5929,14442,0.4972264493642924
0.96,10198,5850,14521,0.5006136173972805
0.97,10489,5497,14874,0.5148986304059693
0.98,12142,2724,17647,0.5960433950223357
0.99,13108,1430,18941,0.6434637474841687
1.0,14202,0,20371,0.6971675420941534
