threshold,missclasified,tag_correct,tag_incorrect,CER
0.0,6169,20371,0,0.30283245790584656
0.0005,5457,13273,7098,0.26788081095675226
0.001,5341,13047,7324,0.2621864415099897
0.0015,5284,12912,7459,0.25938834617839085
0.002,5229,12789,7582,0.2566884296303569
0.0025,5188,12706,7665,0.25467576456727703
0.003,5182,12624,7747,0.2543812282165824
0.0035,5157,12573,7798,0.2531539934220215
0.004,5133,12503,7868,0.25197584801924305
0.0045000000000000005,5110,12436,7935,0.250846792008247
0.005,5090,12380,7991,0.2498650041725983
0.0055,5082,12340,8031,0.24947228903833882
0.006,5052,12292,8079,0.24799960728486575
0.006500000000000001,5045,12255,8116,0.2476559815423887
0.007,5031,12221,8150,0.24696873005743458
0.0075,5016,12180,8191,0.24623238918069806
0.008,4999,12141,8230,0.24539786952039663
0.0085,4991,12117,8254,0.24500515438613715
0.009000000000000001,4987,12093,8278,0.2448087968190074
0.0095,4978,12064,8307,0.2443669922929655
0.01,4980,12036,8335,0.24446517107653037
