threshold,missclasified,tag_correct,tag_incorrect,CER
0.0,6169,20371,0,0.30283245790584656
5e-10,6189,20337,34,0.30381424574149524
1e-09,6189,20337,34,0.30381424574149524
1.5000000000000002e-09,6189,20337,34,0.30381424574149524
2e-09,6189,20337,34,0.30381424574149524
2.5e-09,6189,20337,34,0.30381424574149524
3.0000000000000004e-09,6189,20337,34,0.30381424574149524
3.5000000000000003e-09,6189,20337,34,0.30381424574149524
4e-09,6189,20337,34,0.30381424574149524
4.500000000000001e-09,6189,20337,34,0.30381424574149524
5e-09,6189,20337,34,0.30381424574149524
5.5000000000000004e-09,6188,20336,35,0.30376515634971285
6.000000000000001e-09,6191,20327,44,0.3039124245250601
6.5e-09,6185,20305,66,0.3036178881743655
7.000000000000001e-09,6170,20254,117,0.302881547297629
7.500000000000001e-09,6165,20165,206,0.3026361003387168
8e-09,6162,20028,343,0.30248883216336947
8.5e-09,6151,19891,480,0.3019488488537627
9.000000000000001e-09,6127,19723,648,0.3007707034509842
9.5e-09,6096,19562,809,0.29924893230572874
1e-08,6081,19395,976,0.29851259142899217
