threshold,missclasified,tag_correct,tag_incorrect,CER
0.0,6169,20371,0,0.30283245790584656
5e-06,5944,14422,5949,0.2917873447547985
1e-05,5917,14265,6106,0.29046193117667274
1.5000000000000002e-05,5907,14179,6192,0.2899710372588484
2e-05,5874,14112,6259,0.28835108733002796
2.5e-05,5866,14058,6313,0.2879583721957685
3.0000000000000004e-05,5852,14002,6369,0.2872711207108144
3.5000000000000004e-05,5843,13953,6418,0.2868293161847725
4e-05,5831,13927,6444,0.2862402434833832
4.5e-05,5825,13901,6470,0.28594570713268863
5e-05,5807,13877,6494,0.2850620980806048
5.5e-05,5795,13859,6512,0.28447302537921554
6.000000000000001e-05,5789,13839,6532,0.28417848902852094
6.500000000000001e-05,5780,13824,6547,0.283736684502479
7.000000000000001e-05,5760,13804,6567,0.2827548966668303
7.500000000000001e-05,5751,13787,6584,0.28231309214078837
8e-05,5752,13770,6601,0.2823621815325708
8.5e-05,5745,13753,6618,0.2820185557900938
9e-05,5734,13740,6631,0.28147857248048697
9.5e-05,5727,13733,6638,0.2811349467380099
0.0001,5723,13721,6650,0.28093858917088016
