threshold,missclasified,tag_correct,tag_incorrect,CER
0.0,6169,20371,0,0.30283245790584656
0.01,4980,12036,8335,0.24446517107653037
0.02,4979,11547,8824,0.24441608168474793
0.03,5054,11154,9217,0.2480977860684306
0.04,5186,10822,9549,0.25457758578371215
0.05,5316,10526,9845,0.26095920671542877
0.06,5489,10197,10174,0.2694516714937902
0.07,5661,9871,10500,0.27789504688036915
0.08,5881,9565,10806,0.28869471307250505
0.09,6094,9272,11099,0.29915075352216386
0.1,6321,8951,11420,0.3102940454567768
0.11,6546,8618,11753,0.32133915860782486
0.12,6831,8269,12102,0.33532963526581905
0.13,7073,7949,12422,0.3472092680771685
0.14,7324,7634,12737,0.3595307054145599
0.15,7606,7280,13091,0.3733739138972068
0.16,7883,6961,13410,0.3869716754209415
0.17,8124,6668,13703,0.3988022188405086
0.18,8360,6402,13969,0.4103873153011634
0.19,8610,6120,14251,0.4226596632467724
0.2,8848,5868,14503,0.4343429384909921
0.21,9033,5669,14702,0.44342447597074275
0.22,9201,5485,14886,0.45167149379019195
0.23,9416,5252,15119,0.46222571302341564
0.24,9601,5055,15316,0.47130725050316624
0.25,9808,4836,15535,0.48146875460213046
0.26,9996,4636,15735,0.49069756025722844
0.27,10184,4428,15943,0.49992636591232636
0.28,10340,4264,16107,0.5075843110303864
0.29,10481,4113,16258,0.5145059152717097
0.3,10616,3970,16401,0.5211329831623386
0.31,10734,3840,16531,0.5269255313926661
0.32,10857,3703,16668,0.5329635265819056
0.33,10978,3576,16795,0.5389033429875804
0.34,11094,3450,16921,0.544597712434343
0.35000000000000003,11195,3347,17024,0.549555741004369
0.36,11317,3215,17156,0.5555446468018261
0.37,11428,3096,17275,0.5609935692896765
0.38,11539,2979,17392,0.5664424917775269
0.39,11636,2878,17493,0.5712041627804232
0.4,11725,2777,17594,0.5755731186490599
0.41000000000000003,11818,2680,17691,0.5801384320848265
0.42,11899,2597,17774,0.5841146728192038
0.43,12003,2489,17882,0.5892199695645771
0.44,12096,2396,17975,0.5937852830003436
0.45,12162,2324,18047,0.5970251828579843
0.46,12236,2246,18125,0.6006577978498846
0.47000000000000003,12334,2144,18227,0.6054685582445634
0.48,12424,2054,18317,0.6098866035049826
0.49,12518,1954,18417,0.6145010063325316
0.5,12599,1871,18500,0.6184772470669089
0.51,12660,1808,18563,0.6214716999656374
0.52,12723,1735,18636,0.6245643316479309
0.53,12796,1656,18715,0.6281478572480487
0.54,12895,1551,18820,0.6330077070345098
0.55,12981,1459,18912,0.6372293947277993
0.56,13026,1410,18961,0.6394384173580089
0.5700000000000001,13094,1340,19031,0.6427764959992146
0.58,13158,1276,19095,0.6459182170732904
0.59,13217,1217,19154,0.6488144911884541
0.6,13271,1163,19208,0.6514653183447057
0.61,13308,1126,19245,0.6532816258406559
0.62,13340,1094,19277,0.6548524863776938
0.63,13359,1075,19296,0.65578518482156
0.64,13377,1057,19314,0.6566687938736439
0.65,13398,1036,19335,0.6576996711010751
0.66,13405,1029,19342,0.6580432968435521
0.67,13420,1014,19357,0.6587796377202887
0.68,13428,1006,19365,0.6591723528545481
0.6900000000000001,13441,993,19378,0.6598105149477198
0.7000000000000001,13463,971,19400,0.6608904815669334
0.71,13484,948,19423,0.6619213587943645
0.72,13502,930,19441,0.6628049678464484
0.73,13519,913,19458,0.6636394875067498
0.74,13535,897,19474,0.6644249177752688
0.75,13544,886,19485,0.6648667223013107
0.76,13566,864,19507,0.6659466889205242
0.77,13589,841,19530,0.6670757449315203
0.78,13603,827,19544,0.6677629964164744
0.79,13621,809,19562,0.6686466054685583
0.8,13642,788,19583,0.6696774826959894
0.81,13654,776,19595,0.6702665553973787
0.8200000000000001,13661,769,19602,0.6706101811398557
0.8300000000000001,13666,762,19609,0.6708556280987679
0.84,13675,753,19618,0.6712974326248098
0.85,13683,745,19626,0.6716901477590692
0.86,13688,740,19631,0.6719355947179815
0.87,13710,712,19659,0.673015561337195
0.88,13732,684,19687,0.6740955279564086
0.89,13745,667,19704,0.6747336900495803
0.9,13773,637,19734,0.6761081930194884
0.91,13788,618,19753,0.676844533896225
0.92,13820,576,19795,0.6784153944332629
0.93,13852,522,19849,0.679986254970301
0.9400000000000001,13956,392,19979,0.6850915517156743
0.9500000000000001,14088,198,20173,0.6915713514309557
0.96,14203,41,20330,0.6972166314859359
0.97,14202,8,20363,0.6971675420941534
0.98,14202,0,20371,0.6971675420941534
0.99,14202,0,20371,0.6971675420941534
1.0,14202,0,20371,0.6971675420941534
