threshold,missclasified,tag_correct,tag_incorrect,CER
0.0,6169,20371,0,0.30283245790584656
0.0005,6160,12102,8269,0.30239065337980464
0.001,6124,12064,8307,0.30062343527563695
0.0015,6085,12005,8366,0.29870894899612194
0.002,6085,11947,8424,0.29870894899612194
0.0025,6095,11875,8496,0.2991998429139463
0.003,6089,11827,8544,0.2989053065632517
0.0035,6100,11782,8589,0.29944528987285846
0.004,6094,11760,8611,0.29915075352216386
0.0045000000000000005,6084,11722,8649,0.2986598596043395
0.005,6074,11696,8675,0.29816896568651513
0.0055,6062,11668,8703,0.29757989298512594
0.006,6052,11658,8713,0.2970889990673016
0.006500000000000001,6043,11637,8734,0.29664719454125965
0.007,6039,11623,8748,0.2964508369741299
0.0075,6027,11607,8764,0.29586176427274063
0.008,6019,11597,8774,0.29546904913848115
0.0085,6007,11579,8792,0.29487997643709196
0.009000000000000001,5991,11561,8810,0.29409454616857295
0.0095,5978,11548,8823,0.2934563840754013
0.01,5970,11536,8835,0.29306366894114183
