threshold,missclasified,tag_correct,tag_incorrect,CER
0.0,6169,20371,0,0.30283245790584656
5e-06,6208,12158,8213,0.3047469441853615
1e-05,6208,12158,8213,0.3047469441853615
1.5000000000000002e-05,6207,12157,8214,0.3046978547935791
2e-05,6207,12157,8214,0.3046978547935791
2.5e-05,6204,12154,8217,0.3045505866182318
3.0000000000000004e-05,6203,12153,8218,0.30450149722644937
3.5000000000000004e-05,6203,12153,8218,0.30450149722644937
4e-05,6203,12153,8218,0.30450149722644937
4.5e-05,6203,12153,8218,0.30450149722644937
5e-05,6203,12153,8218,0.30450149722644937
5.5e-05,6203,12153,8218,0.30450149722644937
6.000000000000001e-05,6203,12153,8218,0.30450149722644937
6.500000000000001e-05,6202,12152,8219,0.3044524078346669
7.000000000000001e-05,6202,12152,8219,0.3044524078346669
7.500000000000001e-05,6202,12152,8219,0.3044524078346669
8e-05,6200,12150,8221,0.30435422905110204
8.5e-05,6200,12150,8221,0.30435422905110204
9e-05,6199,12149,8222,0.3043051396593196
9.5e-05,6199,12149,8222,0.3043051396593196
0.0001,6198,12148,8223,0.30425605026753716
