threshold,missclasified,tag_correct,tag_incorrect,CER
0.0,6169,20371,0,0.30283245790584656
0.01,5970,11536,8835,0.29306366894114183
0.02,5768,11208,9163,0.28314761180108977
0.03,5833,10587,9784,0.2863384222669481
0.04,6558,9292,11079,0.32192823130921405
0.05,7843,7519,12852,0.3850080997496441
0.06,9034,5990,14381,0.44347356536252514
0.07,10122,4666,15705,0.49688282362181535
0.08,10934,3672,16699,0.5367434097491532
0.09,11513,2997,17374,0.5651661675911835
0.1,12015,2427,17944,0.5898090422659663
0.11,12394,2006,18365,0.6084139217515095
0.12,12703,1649,18722,0.6235825438122822
0.13,12975,1321,19050,0.6369348583771047
0.14,13177,1095,19276,0.6468509155171568
0.15,13368,896,19475,0.6562269893476019
0.16,13499,757,19614,0.6626576996711011
0.17,13643,599,19772,0.6697265720877719
0.18,13733,505,19866,0.6741446173481911
0.19,13803,427,19944,0.6775808747729616
0.2,13860,364,20007,0.6803789701045604
0.21,13917,303,20068,0.6831770654361592
0.22,13972,246,20125,0.6858769819841932
0.23,14013,199,20172,0.6878896470472731
0.24,14034,178,20193,0.6889205242747042
0.25,14055,153,20218,0.6899514015021354
0.26,14086,120,20251,0.6914731726473909
0.27,14105,101,20270,0.6924058710912572
0.28,14124,80,20291,0.6933385695351234
0.29,14135,69,20302,0.6938785528447302
0.3,14153,51,20320,0.6947621618968141
0.31,14157,47,20324,0.6949585194639438
0.32,14164,40,20331,0.6953021452064209
0.33,14179,23,20348,0.6960384860831574
0.34,14180,22,20349,0.6960875754749398
0.35000000000000003,14182,20,20351,0.6961857542585047
0.36,14186,16,20355,0.6963821118256345
0.37,14187,15,20356,0.6964312012174169
0.38,14189,13,20358,0.6965293800009817
0.39,14196,6,20365,0.6968730057434588
0.4,14197,5,20366,0.6969220951352413
0.41000000000000003,14199,3,20368,0.6970202739188062
0.42,14199,3,20368,0.6970202739188062
0.43,14201,1,20370,0.697118452702371
0.44,14202,0,20371,0.6971675420941534
0.45,14202,0,20371,0.6971675420941534
0.46,14202,0,20371,0.6971675420941534
0.47000000000000003,14202,0,20371,0.6971675420941534
0.48,14202,0,20371,0.6971675420941534
0.49,14202,0,20371,0.6971675420941534
0.5,14202,0,20371,0.6971675420941534
0.51,14202,0,20371,0.6971675420941534
0.52,14202,0,20371,0.6971675420941534
0.53,14202,0,20371,0.6971675420941534
0.54,14202,0,20371,0.6971675420941534
0.55,14202,0,20371,0.6971675420941534
0.56,14202,0,20371,0.6971675420941534
0.5700000000000001,14202,0,20371,0.6971675420941534
0.58,14202,0,20371,0.6971675420941534
0.59,14202,0,20371,0.6971675420941534
0.6,14202,0,20371,0.6971675420941534
0.61,14202,0,20371,0.6971675420941534
0.62,14202,0,20371,0.6971675420941534
0.63,14202,0,20371,0.6971675420941534
0.64,14202,0,20371,0.6971675420941534
0.65,14202,0,20371,0.6971675420941534
0.66,14202,0,20371,0.6971675420941534
0.67,14202,0,20371,0.6971675420941534
0.68,14202,0,20371,0.6971675420941534
0.6900000000000001,14202,0,20371,0.6971675420941534
0.7000000000000001,14202,0,20371,0.6971675420941534
0.71,14202,0,20371,0.6971675420941534
0.72,14202,0,20371,0.6971675420941534
0.73,14202,0,20371,0.6971675420941534
0.74,14202,0,20371,0.6971675420941534
0.75,14202,0,20371,0.6971675420941534
0.76,14202,0,20371,0.6971675420941534
0.77,14202,0,20371,0.6971675420941534
0.78,14202,0,20371,0.6971675420941534
0.79,14202,0,20371,0.6971675420941534
0.8,14202,0,20371,0.6971675420941534
0.81,14202,0,20371,0.6971675420941534
0.8200000000000001,14202,0,20371,0.6971675420941534
0.8300000000000001,14202,0,20371,0.6971675420941534
0.84,14202,0,20371,0.6971675420941534
0.85,14202,0,20371,0.6971675420941534
0.86,14202,0,20371,0.6971675420941534
0.87,14202,0,20371,0.6971675420941534
0.88,14202,0,20371,0.6971675420941534
0.89,14202,0,20371,0.6971675420941534
0.9,14202,0,20371,0.6971675420941534
0.91,14202,0,20371,0.6971675420941534
0.92,14202,0,20371,0.6971675420941534
0.93,14202,0,20371,0.6971675420941534
0.9400000000000001,14202,0,20371,0.6971675420941534
0.9500000000000001,14202,0,20371,0.6971675420941534
0.96,14202,0,20371,0.6971675420941534
0.97,14202,0,20371,0.6971675420941534
0.98,14202,0,20371,0.6971675420941534
0.99,14202,0,20371,0.6971675420941534
1.0,14202,0,20371,0.6971675420941534
