threshold,missclasified,tag_correct,tag_incorrect,CER
0.0,6169,20371,0,0.30283245790584656
5e-10,6169,20371,0,0.30283245790584656
1e-09,6169,20371,0,0.30283245790584656
1.5000000000000002e-09,6169,20371,0,0.30283245790584656
2e-09,6169,20371,0,0.30283245790584656
2.5e-09,6172,20364,7,0.30297972608119383
3.0000000000000004e-09,6212,19812,559,0.3049433017524913
3.5000000000000003e-09,6272,18874,1497,0.3078886652594374
4e-09,6292,17842,2529,0.30887045309508615
4.500000000000001e-09,6289,16841,3530,0.3087231849197388
5e-09,6325,15991,4380,0.3104904030239065
5.5000000000000004e-09,6315,15319,5052,0.30999950910608215
6.000000000000001e-09,6263,14699,5672,0.3074468607333955
6.5e-09,6235,14197,6174,0.3060723577634873
7.000000000000001e-09,6231,13785,6586,0.3058760001963576
7.500000000000001e-09,6229,13481,6890,0.3057778214127927
8e-09,6223,13227,7144,0.3054832850620981
8.5e-09,6190,13046,7325,0.3038633351332777
9.000000000000001e-09,6196,12900,7471,0.30415787148397233
9.5e-09,6204,12758,7613,0.3045505866182318
1e-08,6208,12648,7723,0.3047469441853615
